What's Going On (Part 1), Quincy Jones, Quincy Jones - The Best
What's Going On (Part 1), Quincy Jones, Quincy Jones - The Best
I'm Gonna Miss You In The Morning, Quincy Jones, Quincy Jones - The Best
Soul Bossa Nova, Quincy Jones And His Orchestra, Big Band Bossa Nova
Back On The Block, Quincy Jones, Back On The Block
I Don't Go For That, Quincy Jones, Back On The Block
Rock With You (part. Brandy e Heavy D), Quincy Jones, From Q With Love
You've Got It Bad Girl, Quincy Jones, Greatest Hits: Quincy Jones
Razzamatazz, Quincy Jones, Greatest Hits: Quincy Jones
Stuff Like That (part. Nickolas Ashford Valerie Simpson e Chaka Khan), Quincy Jones, Quincy Jones - The Best
Body Heat, Quincy Jones, Quincy Jones - The Best
Betcha Wouldn't Hurt Me, Quincy Jones, Quincy Jones - The Best
Killer Joe, Quincy Jones, Quincy Jones - The Best
Ai No Corrida (part. Dune), Quincy Jones, Quincy Jones - The Best
If I Ever Lose This Heaven, Quincy Jones, Quincy Jones - The Best
"Sanford & Son Theme" - NBC-TV (The Streetbeater), Quincy Jones, Greatest Hits: Quincy Jones
Things Could Be Worse For Me, Quincy Jones, Greatest Hits: Quincy Jones
One Hundred Ways, Quincy Jones, Greatest Hits: Quincy Jones
Things Could Be Worse For Me, Quincy Jones, I Heard That!!
You Have To Do It Yourself, Quincy Jones, I Heard That!!
Midnight Soul Patrol, Quincy Jones, I Heard That!!
