I'm Gonna Sit Right Down and Write Myself a Letter,Art Tatum
I've Got You Under my Skin,Art Tatum
In A Mellow Tone,Art Tatum
In A Sentimental Mood,Art Tatum
Just You Just me,Art Tatum
Love for Sale,Art Tatum
Lullaby Of Birdland,Art Tatum
Misty,Art Tatum
Moanin',Art Tatum
Moonlight Serenade,Art Tatum
Night and Day,Art Tatum
On The Sunny Side Of The Street,Art Tatum
Penthouse Serenade,Art Tatum
Poinciana,Art Tatum
Round Midnight,Art Tatum
Ruby My Dear,Art Tatum
Samba De Orpheu,Art Tatum
Satin Doll,Art Tatum
Song For My Father,Art Tatum
Sophisticated Lady,Art Tatum
Stardust,Art Tatum
Stella By Starlight,Art Tatum
Sugar,Art Tatum
Summertime,Art Tatum
Take Five,Art Tatum
Take The A Train,Art Tatum
Tea For Two,Art Tatum
Tenderly,Art Tatum
The Girl From Ipanema,Art Tatum
There Will Never Be Another You,Art Tatum
These Foolish Things,Art Tatum
They Can't Take That Away from Me,Art Tatum
Three Little Words,Art Tatum
Watermelon Man,Art Tatum
Wave,Art Tatum
West Coast Blues,Art Tatum
What Is This Thing Called Love,Art Tatum
You’re Driving Me Crazy,Art Tatum
'Round Midnight,Art Van Damme
A Child is Born,Art Van Damme
A Foggy Day,Art Van Damme
A Song For My Father,Art Van Damme
All Blues,Art Van Damme
All Of Me,Art Van Damme
All The Things You Are,Art Van Damme
Almost Like Being In Love,Art Van Damme
Autumn Leaves,Art Van Damme
Begin the Beguine,Art Van Damme
Black Orpheus (Manhã de Carnaval),Art Van Damme
Bluesette,Art Van Damme
Body And Soul,Art Van Damme
But Not For Me,Art Van Damme
Bye Bye Blackbird,Art Van Damme
C Jam Blues,Art Van Damme
Cantaloupe Island,Art Van Damme
Caravan,Art Van Damme
Cheek to cheek,Art Van Damme
Cherokee,Art Van Damme
Corner Pocket,Art Van Damme
Dear Old Stockholm,Art Van Damme
Desafinado,Art Van Damme
Don't Get Around Much Anymore,Art Van Damme
Easy To Love,Art Van Damme
Everytime We Say Goodbye,Art Van Damme
Fly Me To The Moon,Art Van Damme
Garota de Ipanema,Art Van Damme
Honeysuckle Rose,Art Van Damme
How High The Moon,Art Van Damme
I Got Rhythm,Art Van Damme
I Remember Clifford,Art Van Damme
I'm Gonna Sit Right Down and Write Myself a Letter,Art Van Damme
I've Got You Under my Skin,Art Van Damme
In A Mellow Tone,Art Van Damme
In A Sentimental Mood,Art Van Damme
Just You Just me,Art Van Damme
Love for Sale,Art Van Damme
Lullaby Of Birdland,Art Van Damme
Misty,Art Van Damme
Moanin',Art Van Damme
Moonlight Serenade,Art Van Damme
Night and Day,Art Van Damme
On The Sunny Side Of The Street,Art Van Damme
Penthouse Serenade,Art Van Damme
Poinciana,Art Van Damme
Round Midnight,Art Van Damme
Ruby My Dear,Art Van Damme
Samba De Orpheu,Art Van Damme
Satin Doll,Art Van Damme
Song For My Father,Art Van Damme
Sophisticated Lady,Art Van Damme
Stardust,Art Van Damme
Stella By Starlight,Art Van Damme
Sugar,Art Van Damme
Summertime,Art Van Damme
Take Five,Art Van Damme
Take The A Train,Art Van Damme
Tea For Two,Art Van Damme
Tenderly,Art Van Damme
The Girl From Ipanema,Art Van Damme
There Will Never Be Another You,Art Van Damme
These Foolish Things,Art Van Damme
They Can't Take That Away from Me,Art Van Damme
Three Little Words,Art Van Damme
Watermelon Man,Art Van Damme
Wave,Art Van Damme
West Coast Blues,Art Van Damme
What Is This Thing Called Love,Art Van Damme
You’re Driving Me Crazy,Art Van Damme
'Round Midnight,Ben Webster 
A Child is Born,Ben Webster 
A Foggy Day,Ben Webster 
A Song For My Father,Ben Webster 
All Blues,Ben Webster 
All Of Me,Ben Webster 
All The Things You Are,Ben Webster 
Almost Like Being In Love,Ben Webster 
Autumn Leaves,Ben Webster 
Begin the Beguine,Ben Webster 
Black Orpheus (Manhã de Carnaval),Ben Webster 
Bluesette,Ben Webster 
Body And Soul,Ben Webster 
But Not For Me,Ben Webster 
Bye Bye Blackbird,Ben Webster 
C Jam Blues,Ben Webster 
Cantaloupe Island,Ben Webster 
Caravan,Ben Webster 
Cheek to cheek,Ben Webster 
Cherokee,Ben Webster 
Corner Pocket,Ben Webster 
Dear Old Stockholm,Ben Webster 
Desafinado,Ben Webster 
Don't Get Around Much Anymore,Ben Webster 
Easy To Love,Ben Webster 
Everytime We Say Goodbye,Ben Webster 
Fly Me To The Moon,Ben Webster 
Garota de Ipanema,Ben Webster 
Honeysuckle Rose,Ben Webster 
How High The Moon,Ben Webster 
I Got Rhythm,Ben Webster 
I Remember Clifford,Ben Webster 
I'm Gonna Sit Right Down and Write Myself a Letter,Ben Webster 
I've Got You Under my Skin,Ben Webster 
In A Mellow Tone,Ben Webster 
In A Sentimental Mood,Ben Webster 
Just You Just me,Ben Webster 
Love for Sale,Ben Webster 
Lullaby Of Birdland,Ben Webster 
Misty,Ben Webster 
Moanin',Ben Webster 
Moonlight Serenade,Ben Webster 
Night and Day,Ben Webster 
On The Sunny Side Of The Street,Ben Webster 
Penthouse Serenade,Ben Webster 
Poinciana,Ben Webster 
Round Midnight,Ben Webster 
Ruby My Dear,Ben Webster 
Samba De Orpheu,Ben Webster 
Satin Doll,Ben Webster 
Song For My Father,Ben Webster 
Sophisticated Lady,Ben Webster 
Stardust,Ben Webster 
Stella By Starlight,Ben Webster 
Sugar,Ben Webster 
Summertime,Ben Webster 
Take Five,Ben Webster 
Take The A Train,Ben Webster 
Tea For Two,Ben Webster 
Tenderly,Ben Webster 
The Girl From Ipanema,Ben Webster 
There Will Never Be Another You,Ben Webster 
These Foolish Things,Ben Webster 
They Can't Take That Away from Me,Ben Webster 
Three Little Words,Ben Webster 
Watermelon Man,Ben Webster 
Wave,Ben Webster 
West Coast Blues,Ben Webster 
What Is This Thing Called Love,Ben Webster 
You’re Driving Me Crazy,Ben Webster 
'Round Midnight,Benny Golson 
A Child is Born,Benny Golson 
A Foggy Day,Benny Golson 
A Song For My Father,Benny Golson 
All Blues,Benny Golson 
All Of Me,Benny Golson 
All The Things You Are,Benny Golson 
Almost Like Being In Love,Benny Golson 
Autumn Leaves,Benny Golson 
Begin the Beguine,Benny Golson 
Black Orpheus (Manhã de Carnaval),Benny Golson 
Bluesette,Benny Golson 
Body And Soul,Benny Golson 
But Not For Me,Benny Golson 
Bye Bye Blackbird,Benny Golson 
C Jam Blues,Benny Golson 
Cantaloupe Island,Benny Golson 
Caravan,Benny Golson 
Cheek to cheek,Benny Golson 
Cherokee,Benny Golson 
Corner Pocket,Benny Golson 
Dear Old Stockholm,Benny Golson 
Desafinado,Benny Golson 
Don't Get Around Much Anymore,Benny Golson 
Easy To Love,Benny Golson 
Everytime We Say Goodbye,Benny Golson 
Fly Me To The Moon,Benny Golson 
Garota de Ipanema,Benny Golson 
Honeysuckle Rose,Benny Golson 
How High The Moon,Benny Golson 
I Got Rhythm,Benny Golson 
I Remember Clifford,Benny Golson 
I'm Gonna Sit Right Down and Write Myself a Letter,Benny Golson 
I've Got You Under my Skin,Benny Golson 
In A Mellow Tone,Benny Golson 
In A Sentimental Mood,Benny Golson 
Just You Just me,Benny Golson 
Love for Sale,Benny Golson 
Lullaby Of Birdland,Benny Golson 
Misty,Benny Golson 
Moanin',Benny Golson 
